StarID	HIP	HD	HR	Gliese	BayerFlamsteed	ProperName	RA	Dec	Distance	PMRA	PMDec	RV	Mag	AbsMag	Spectrum	ColorIndex	X	Y	Z	VX	VY	VZ
29222	29295	42581		Gl 229			6,17630597	-21,86290752	5,7740054276	-137,01	-714,06	5,2	8,15	9,3426140611	M1/M2V	1,487	-0,24725	5,35301	-2,15016	0,000003946	-0,000002327	-0,000020529
26792	26857			Gl 213			5,70224237	12,493155	5,7877069105	1999,05	-1570,64	105,6	11,56	12,7474673483	M5	1,675	0,44003	5,6335	1,25201	-0,000046963	0,000118993	-0,000019661
86723	86990			Gl 693			17,77651077	-57,31575508	5,8112505811	-1119,87	-1352,52	-115	10,75	11,9286519869	M5	1,66	-0,1835	-3,13275	-4,89109	-0,000025904	0,000097262	0,000078414
94467	94761	180617		Gl 752  A			19,28210998	5,17214064	5,8733701398	-578,86	-1331,7	36,3	9,12	10,2755631453	M3.5V	1,464	1,92674	-5,52302	0,52947	-0,000002257	-0,000043566	-0,000034415
119276	0			Gl 752  B			19,2833400094	5,167277104	5,8733701398	-572,812	-1342,939		17,52	18,6755631453	dM5  e	2,2	1,92853	-5,52244	0,52897	-0,000014262	-0,000008628	-0,000038081
118533	0			Gl 300			8,2112797248	-21,5417322397	5,8823529412	30,533	-699,333		12,1	13,2522446069	M4	1,6	-2,99351	4,57994	-2,15987	0,000003277	-0,000006605	-0,000018549
72958	73184	131977	5568	Gl 570  A		33 G. Lib	14,95759766	-21,4112809	5,9059768486	1034,18	-1725,6	29,1	5,72	6,863541299	K4V	1,024	-3,93085	-3,84453	-2,15603	0,000013788	-0,00002793	-0,000056859
37659	37766			Gl 285			7,74454884	3,55354943	5,931549914	-344,87	-450,84	26,8	11,19	12,3241590533	M4.5Ve	1,6	-2,61083	5,31334	0,36764	-0,000003518	0,000029646	-0,000011239
75842	76074			Gl 588			15,5371793	-41,27308564	5,9340137669	-1177,47	-1028,86	15,4	9,31	10,4432572523	M0	1,524	-2,68041	-3,56449	-3,91436	-0,000022452	0,0000265	-0,000032633
118022	0			Gl  34  B			0,8160061061	57,8244410852	5,9527352819	1097,523	-509,453	10,5	7,51	8,6364171505	K7 V	1,39	3,09786	0,67205	5,03851	0,000011034	0,000034801	0,00000126
3814	3821	4614	219	Gl  34  A	24Eta Cas		0,8180835	57,8165477	5,9527352819	1087,11	-559,65	8,2	3,46	4,5864171505	G0V SB	0,587	3,09817	0,67388	5,03807	0,000011053	0,000034508	-0,000001504
84221	84478	156026		Gl 664			17,27046539	-26,54341625	5,9680114586	-479,71	-1123,37	-0,1	6,33	7,4508517584	K5V	1,144	-1,0135	-5,24187	-2,66696	-0,000010851	0,000016984	-0,000029029
117107	117473			Gl 908			23,81998495	2,40357651	5,9697928482	995,12	-968,25	-71,3	8,98	10,1002036931	M2V	1,46	5,95791	-0,28099	0,25036	-0,000070244	0,000032143	-0,000031054
84148	84405	155885	6401	Gl 663  B	36    Oph		17,25591313	-26,60004896	5,9851568111	-473,69	-1143,93	0,9	4,33	5,444622333	K2:III:	0,855	-1,03592	-5,25043	-2,67991	-0,000010766	0,000016433	-0,000030089
119136	0	155886	6402	Gl 663  A	36    Oph		17,2561897482	-26,5875605536	5,9851568111	-492,429	-1127,126	0,5	5,07	6,184622333	K1 Ve	0,85	-1,03566	-5,25107	-2,67874	-0,000011273	0,000016676	-0,000029473
99144	99461	191408	7703	Gl 783  A			20,18655784	-36,09738423	6,0518034374	456,89	-1574,91	-129,8	5,32	6,4105759315	K2V	0,868	2,64881	-4,11041	-3,56547	-0,000061581	0,000120306	0,000040877
119335	0			Gl 783  B			20,1861583084	-36,0809029057	6,0518034374	454,755	-1565,278		11,5	12,5905759315	M3.5		2,64893	-4,11155	-3,56407	-0,000003431	0,00002996	-0,000037112
